MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"80489",ЧОКА,ČOKA,0.0000,0.0000,27.3546,30.4364,6.5106,321.2383,64.3016,0.00,0.00,0.09,0.09,0.02,0.20
"80241",МАЛИ ИЂОШ,MALI IĐOŠ,35.3233,0.0000,0.0000,22.7391,0.0000,181.0800,58.0624,0.20,0.00,0.00,0.13,0.00,0.32
"71293",СУРЧИН,SURČIN,96.1311,1.2443,0.0000,48.9233,22.5612,288.1018,168.8599,0.33,0.00,0.00,0.17,0.08,0.59
"80497",ШИД,ŠID,43.0771,0.0000,10.3881,77.8150,12.0665,685.7419,143.3467,0.06,0.00,0.02,0.11,0.02,0.21
"70521",ЖАБАРИ,ŽABARI,0.0000,0.0000,0.0000,30.0724,23.5416,263.7973,53.6140,0.00,0.00,0.00,0.11,0.09,0.20
"70777",ЉУБОВИЈА,LJUBOVIJA,0.0000,0.0000,36.8438,34.6642,6.3314,356.1324,77.8394,0.00,0.00,0.10,0.10,0.02,0.22
"70017",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.0000,0.0000,0.0000,79.6174,20.0364,386.6416,99.6538,0.00,0.00,0.00,0.21,0.05,0.26
"80217",КОВАЧИЦА,KOVAČICA,0.0000,0.0000,0.0000,61.9911,0.0000,419.7151,61.9911,0.00,0.00,0.00,0.15,0.00,0.15
"70530",ЖАГУБИЦА,ŽAGUBICA,0.0000,0.0000,0.0000,90.0826,24.4323,760.0410,114.5149,0.00,0.00,0.00,0.12,0.03,0.15
"70785",МАЈДАНПЕК,MAJDANPEK,0.0000,0.0000,100.8201,65.4830,30.4255,931.6054,196.7286,0.00,0.00,0.11,0.07,0.03,0.21
"70254",ЧУКАРИЦА,ČUKARICA,0.0000,35.6476,34.4082,37.2628,62.6263,157.0186,169.9449,0.00,0.23,0.22,0.24,0.40,1.08
"71021",РАШКА,RAŠKA,0.0000,0.0000,39.7948,93.3270,18.3234,670.1427,151.4452,0.00,0.00,0.06,0.14,0.03,0.23
"80225",КОВИН,KOVIN,0.0000,0.0000,25.4138,31.7235,31.2864,738.1017,88.4237,0.00,0.00,0.03,0.04,0.04,0.12
"71277",ЛАПОВО,LAPOVO,20.8429,0.0000,0.0000,8.6249,0.0446,55.0862,29.5124,0.38,0.00,0.00,0.16,0.00,0.54
"70505",ДИМИТРОВГРАД,DIMITROVGRAD,25.2749,0.0000,0.0000,51.2704,40.3142,483.1112,116.8595,0.05,0.00,0.00,0.11,0.08,0.24
"70262",БЛАЦЕ,BLACE,0.0000,0.0000,19.1081,11.2434,12.7383,306.2581,43.0898,0.00,0.00,0.06,0.04,0.04,0.14
"80462",ВРБАС,VRBAS,43.5038,0.0000,15.4772,43.5153,20.3921,375.5084,122.8884,0.12,0.00,0.04,0.12,0.05,0.33
"71030",РЕКОВАЦ,REKOVAC,0.0000,0.0000,0.0000,70.9032,26.9257,366.0345,97.8289,0.00,0.00,0.00,0.19,0.07,0.27
"71285",НИШКА БАЊА,NIŠKA BANJA,21.6934,0.0000,4.4820,22.8226,25.1329,145.4788,74.1309,0.15,0.00,0.03,0.16,0.17,0.51
"70513",ДОЉЕВАЦ,DOLJEVAC,24.4117,0.0000,0.0000,31.8831,6.2011,121.2146,62.4959,0.20,0.00,0.00,0.26,0.05,0.52
"70769",ЉИГ,LJIG,41.5601,0.0000,21.4565,25.4294,66.1618,278.7250,154.6078,0.15,0.00,0.08,0.09,0.24,0.55
"70238",СОПОТ,SOPOT,11.5603,2.1871,0.0000,56.4887,32.5519,270.6924,102.7880,0.04,0.01,0.00,0.21,0.12,0.38
"70491",ДЕСПОТОВАЦ,DESPOTOVAC,0.0000,0.0000,0.0000,78.4235,22.6498,623.2690,101.0733,0.00,0.00,0.00,0.13,0.04,0.16
"80209",КИКИНДА,KIKINDA,0.0000,0.0000,60.4155,52.4430,73.8538,782.3225,186.7123,0.00,0.00,0.08,0.07,0.09,0.24
"71005",РАЖАЊ,RAŽANJ,27.0594,0.0000,0.0000,18.8649,13.8576,288.8431,59.7819,0.09,0.00,0.00,0.07,0.05,0.21
"80187",ИРИГ,IRIG,0.0000,0.0000,13.3219,0.0000,64.6837,230.2448,78.0056,0.00,0.00,0.06,0.00,0.28,0.34
"80446",ТЕМЕРИН,TEMERIN,3.8464,0.0000,0.0000,37.7916,0.0000,169.6306,41.6380,0.02,0.00,0.00,0.22,0.00,0.25
"70246",СТАРИ ГРАД,STARI GRAD,0.0000,0.0000,1.6298,15.2460,6.4292,5.4296,23.3050,0.00,0.00,0.30,2.81,1.18,4.29
"71013",РАЧА,RAČA,0.0000,0.0000,23.4351,18.7877,20.6323,216.0812,62.8551,0.00,0.00,0.11,0.09,0.10,0.29
"71269",ШАБАЦ,ŠABAC,0.0000,0.0000,60.1100,76.0192,64.7380,796.6951,200.8672,0.00,0.00,0.08,0.10,0.08,0.25
"80195",КАЊИЖА,KANJIŽA,23.3713,0.0000,19.8318,26.8452,21.9546,398.4627,92.0029,0.06,0.00,0.05,0.07,0.06,0.23
