MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area
"70653","720186",СТАНЧА,STANČA,КРАЉЕВО,KRALJEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.1113
"70912","732010",ТАБАНОВАЦ,TABANOVAC,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,0.00,0.00,0.00,0.27,0.00,0.27,0.0000,0.0000,0.0000,4.2200,0.0000,4.2200,15.4434
"71170","743003",ПЛАНИНИЦА,PLANINICA,ТРСТЕНИК,TRSTENIK,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5714
"70742","725790",ВИЧА,VIČA,ЛУЧАНИ,LUČANI,0.00,0.00,0.00,0.17,0.00,0.17,0.0000,0.0000,0.0000,5.8013,0.0000,5.8013,34.2066
"70831","728446",ШУШЕОКА,ŠUŠEOKA,МИОНИЦА,MIONICA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9390
"71170","742864",ЛОБОДЕР,LOBODER,ТРСТЕНИК,TRSTENIK,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5983
"70831","728152",ГОРЊИ МУШИЋ,GORNJI MUŠIĆ,МИОНИЦА,MIONICA,0.00,0.00,0.00,0.00,0.74,0.74,0.0000,0.0000,0.0000,0.0000,6.5256,6.5256,8.7948
"70882","731234",ПЕЦКА,PECKA,ОСЕЧИНА,OSEČINA,0.00,0.00,0.00,5.37,3.86,9.23,0.0000,0.0000,0.0000,0.5291,0.3799,0.9090,0.0985
"70378","709182",ДОЊИ КРЧИН,DONJI KRČIN,ВАРВАРИН,VARVARIN,0.00,0.00,0.00,0.71,0.38,1.09,0.0000,0.0000,0.0000,5.8481,3.1787,9.0268,8.2708
"70319","706388",РУЈИШТЕ,RUJIŠTE,БОЉЕВАЦ,BOLJEVAC,0.00,0.00,0.00,0.15,0.21,0.36,0.0000,0.0000,0.0000,4.2208,6.1252,10.3460,28.8627
"70491","714054",ПАЊЕВАЦ,PANJEVAC,ДЕСПОТОВАЦ,DESPOTOVAC,0.00,0.00,0.00,0.39,0.00,0.39,0.0000,0.0000,0.0000,6.0819,0.0000,6.0819,15.5814
"70483","713481",КРИВА РЕКА,KRIVA REKA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,0.00,0.10,0.10,0.0000,0.0000,0.0000,0.0000,1.0186,1.0186,10.2805
"71056","738557",ДУБНИЦА,DUBNICA,СВИЛАЈНАЦ,SVILAJNAC,0.00,0.00,0.00,0.33,0.00,0.33,0.0000,0.0000,0.0000,4.5455,0.0000,4.5455,13.9360
"70912","731706",БУРОВАЦ,BUROVAC,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,0.00,0.00,0.00,0.24,0.12,0.36,0.0000,0.0000,0.0000,3.8012,1.9143,5.7155,15.7475
"71170","743186",УГЉАРЕВО,UGLJAREVO,ТРСТЕНИК,TRSTENIK,0.00,0.00,0.00,0.27,0.12,0.38,0.0000,0.0000,0.0000,2.1976,0.9924,3.1900,8.2862
"70831","728411",ТАБАНОВИЋ,TABANOVIĆ,МИОНИЦА,MIONICA,0.00,0.00,0.00,0.05,0.00,0.05,0.0000,0.0000,0.0000,0.2266,0.0000,0.2266,4.6064
"70785","726915",ЦРНАЈКА,CRNAJKA,МАЈДАНПЕК,MAJDANPEK,0.00,0.00,0.11,0.14,0.00,0.25,0.0000,0.0000,5.7029,6.9761,0.0000,12.6790,51.5121
"70602","718033",ШАРБАНОВАЦ,ŠARBANOVAC,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6262
"70602","717878",РАДИЧЕВАЦ,RADIČEVAC,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2989
"70602","717924",СЛАТИНА,SLATINA,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1515
"70556","715654",ДУБОЧАНЕ,DUBOČANE,ЗАЈЕЧАР,ZAJEČAR,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.3671
