MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Decl/Grow,Traff_Name,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area,Traff_Key
"70351","707945",КУШТИЦА,KUŠTICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8264,"6"
"70963","733865",РАЈИНЦЕ,RAJINCE,ПРЕШЕВО,PREŠEVO,No data,No data,0.02,0.00,0.00,0.00,0.40,0.42,0.2306,0.0000,0.0000,0.0000,5.6321,5.8627,14.0289,"6"
"70963","733636",БЕРЧЕВАЦ,BERČEVAC,ПРЕШЕВО,PREŠEVO,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1146,"6"
"70351","707783",ДОЊЕ НОВО СЕЛО,DONJE NOVO SELO,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6928,"6"
"70351","707767",ГРАМАДА,GRAMADA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.11,0.11,0.0000,0.0000,0.0000,0.0000,0.2557,0.2557,2.2813,"6"
"70351","707961",ЛЕТОВИЦА,LETOVICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.27,0.00,0.00,0.00,0.36,0.63,2.5719,0.0000,0.0000,0.0000,3.3747,5.9466,9.4809,"6"
"71161","742350",ДОЊА ТРНИЦА,DONJA TRNICA,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.32,0.00,0.32,0.0000,0.0000,0.0000,4.0184,0.0000,4.0184,12.4081,"1"
"71161","742619",ШАПРАНЦЕ,ŠAPRANCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.32,0.00,0.32,0.0000,0.0000,0.0000,3.0369,0.0000,3.0369,9.3704,"1"
"70351","707929",КОШАРНО,KOŠARNO,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5237,"6"
"70351","707791",ДРЕЖНИЦА,DREŽNICA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.77,0.00,0.77,0.0000,0.0000,0.0000,1.3461,0.0000,1.3461,1.7421,"6"
"70351","707856",ЈАСТРЕБАЦ,JASTREBAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2252,"6"
"70335","706825",ЈАРЕШНИК,JAREŠNIK,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1087,"3"
"70351","708216",ТРЕЈАК,TREJAK,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5616,"6"
"71161","742287",ВЛАДОВЦЕ,VLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.96,0.00,0.96,0.0000,0.0000,0.0000,3.5693,0.0000,3.5693,3.7114,"1"
"70351","708135",РУСЦЕ,RUSCE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,1.30,0.00,1.30,0.0000,0.0000,0.0000,3.1111,0.0000,3.1111,2.3859,"6"
"71161","742465",МЕЗДРАЈА,MEZDRAJA,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.08,0.00,0.08,0.0000,0.0000,0.0000,0.1860,0.0000,0.1860,2.2415,"3"
"70335","706582",БИСТАР,BISTAR,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.24,0.24,0.0000,0.0000,0.0000,0.0000,3.5994,3.5994,15.2272,"3"
"70351","707708",БУШТРАЊЕ,BUŠTRANJE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0658,"6"
"70351","708062",СВЕТА ПЕТКА,SVETA PETKA,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.54,0.00,0.54,0.0000,0.0000,0.0000,2.0936,0.0000,2.0936,3.8841,"6"
"70335","706728",ДОГАНИЦА,DOGANICA,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4181,"3"
"70351","707732",ВРБАН,VRBAN,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0458,"6"
