MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"70980","734578",ДОЊЕ БАБИНЕ,DONJE BABINE,ПРИЈЕПОЉЕ,PRIJEPOLJE,10.28,0.00,7.22,44.76
"70670","721581",ЋЕЛИЈЕ,ĆELIJE,КРУШЕВАЦ,KRUŠEVAC,53.76,10.21,29.52,49.65
"71021","737399",ПОКРВЕНИК,POKRVENIK,РАШКА,RAŠKA,0.00,0.00,0.00,6.55
"70653","720216",ТАДЕЊЕ,TADENJE,КРАЉЕВО,KRALJEVO,29.89,23.33,36.41,44.34
"70025","700754",ВРЋЕНОВИЦА,VRĆENOVICA,АЛЕКСИНАЦ,ALEKSINAC,23.41,7.61,17.19,53.49
"70823","727911",ЈОВАНОВАЦ,JOVANOVAC,МЕРОШИНА,MEROŠINA,33.37,5.45,11.02,25.75
"70980","735132",СКОКУЋЕ,SKOKUĆE,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.38,0.00,0.00,22.21
"70998","735949",КОСТЕНИЦА,KOSTENICA,ПРОКУПЉЕ,PROKUPLJE,0.10,0.72,0.00,14.63
"71021","737488",СЕМЕТЕШ,SEMETEŠ,РАШКА,RAŠKA,0.00,0.00,0.00,20.09
"70017","700118",ВРАЖОГРНЦИ,VRAŽOGRNCI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,73.33,66.21,18.02,29.76
"70955","733318",ЈЕЛЕН ДО,JELEN DO,ПОЖЕГА,POŽEGA,80.46,89.07,142.13,98.81
"70670","721450",РОСИЦА,ROSICA,КРУШЕВАЦ,KRUŠEVAC,64.71,19.35,28.25,30.48
"71242","745812",МОЈСИЊЕ,MOJSINJE,ЧАЧАК,ČAČAK,68.76,73.93,72.98,107.27
"71145","741671",КЕСЕРОВИНА,KESEROVINA,УЖИЦЕ,UŽICE,3.60,1.73,0.84,24.32
"70866","729833",КОМАРАНИ,KOMARANI,НОВА ВАРОШ,NOVA VAROŠ,9.89,0.07,5.82,40.94
"70670","720887",ДВОРАНЕ,DVORANE,КРУШЕВАЦ,KRUŠEVAC,63.29,28.01,41.30,52.14
"70343","707422",МАЛА ГРАБОВНИЦА,MALA GRABOVNICA,БРУС,BRUS,86.93,50.41,28.23,34.54
"71323","728900",БЕРБАТОВО,BERBATOVO,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),38.50,25.55,30.03,64.68
"71137","741221",ЗАГУЖАЊЕ,ZAGUŽANJE,СУРДУЛИЦА,SURDULICA,97.64,85.25,44.72,61.12
"71137","741051",БАЦИЈЕВЦЕ,BACIJEVCE,СУРДУЛИЦА,SURDULICA,40.87,9.16,3.84,11.34
"70726","724912",РАВНИ ДЕЛ,RAVNI DEL,ЛЕСКОВАЦ,LESKOVAC,1.02,0.00,0.24,13.06
"70815","727482",МАРОВАЦ,MAROVAC,МЕДВЕЂА,MEDVEĐA,12.49,0.00,6.03,31.80
"70726","725129",ЦРЦАВАЦ,CRCAVAC,ЛЕСКОВАЦ,LESKOVAC,2.64,0.04,0.00,9.55
"70815","727571",ПЕТРИЉЕ,PETRILJE,МЕДВЕЂА,MEDVEĐA,0.17,0.00,0.00,17.89
"70718","723274",ДРВОДЕЉ,DRVODELJ,ЛЕБАНЕ,LEBANE,0.00,0.00,0.00,14.76
