MatBrO,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"71099",СМЕДЕРЕВО,SMEDEREVO,51.60,54.88,8051.47,9788.63
"70327",БОР,BOR,16.15,11.32,3537.99,4707.86
"71102",СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,47.25,28.66,2403.60,3742.85
"80306",ОЏАЦИ,ODŽACI,20.68,15.82,1595.31,2643.56
"70840",НЕГОТИН,NEGOTIN,20.37,13.65,2792.00,5965.88
"71358",ВРАЊСКА БАЊА,VRANJSKA BANJA,18.09,14.12,730.19,1261.37
"70084",БЕЛА ПАЛАНКА,BELA PALANKA,15.11,4.08,653.44,1583.96
"80284",НОВИ САД,NOVI SAD,42.69,52.03,21857.15,23412.94
"70335",БОСИЛЕГРАД,BOSILEGRAD,6.37,1.27,142.59,913.55
"80292",ОПОВО,OPOVO,16.80,12.45,625.05,1178.05
"70572",КЛАДОВО,KLADOVO,16.80,10.95,2309.17,3247.13
"71340",КОСТОЛАЦ,KOSTOLAC,52.81,49.98,1645.49,2068.88
"80012",АДА,ADA,21.25,11.69,1107.47,1244.26
"70068",БАЈИНА БАШТА,BAJINA BAŠTA,14.46,6.26,1278.66,2222.10
"70823",МЕРОШИНА,MEROŠINA,42.95,25.91,652.25,1132.38
"80268",НОВИ БЕЧЕЈ,NOVI BEČEJ,12.01,8.58,1670.89,3010.56
"70319",БОЉЕВАЦ,BOLJEVAC,6.46,1.84,458.08,1724.53
"80519",НОВИ САД,NOVI SAD,76.41,80.46,3705.68,3965.19
"80276",НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,17.22,11.44,749.71,1470.74
"70831",МИОНИЦА,MIONICA,16.92,10.54,672.07,1646.57
"70556",ЗАЈЕЧАР,ZAJEČAR,17.87,11.40,2779.09,5382.47
"71323",ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),76.75,77.39,3985.57,4485.80
"70041",АРИЉЕ,ARILJE,14.60,9.70,1326.90,1877.78
"70297",БОЈНИК,BOJNIK,14.94,4.96,190.42,715.80
"70807",МАЛО ЦРНИЋЕ,MALO CRNIĆE,35.72,20.14,902.00,1625.89
"71064",СВРЉИГ,SVRLJIG,19.91,3.71,576.03,1330.27
"70564",ИВАЊИЦА,IVANJICA,8.95,4.33,1400.07,3023.79
"70050",БАБУШНИЦА,BABUŠNICA,4.68,1.43,194.61,955.12
"71331",МЕДИЈАНА,MEDIJANA,100.00,100.00,3113.39,3070.97
"80250",НОВА ЦРЊА,NOVA CRNJA,17.82,11.50,639.41,1156.80
"70815",МЕДВЕЂА,MEDVEĐA,9.96,3.64,305.17,1205.47
