MatBrO,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"71048",ЈАГОДИНА,JAGODINA,46.37,50.41,3.22,0.00,0.00,0.00,230.21
"70548",ЖИТОРАЂА,ŽITORAĐA,0.49,91.12,7.83,0.56,0.00,0.00,316.88
"70793",МАЛИ ЗВОРНИК,MALI ZVORNIK,14.56,57.51,27.37,0.56,0.00,0.00,389.97
"71315",ЦРВЕНИ КРСТ,CRVENI KRST,30.01,61.36,8.63,0.00,0.00,0.00,292.23
"70033",АРАНЂЕЛОВАЦ,ARANĐELOVAC,17.59,80.02,2.39,0.00,0.00,0.00,290.42
"80233",КУЛА,KULA,100.00,0.00,0.00,0.00,0.00,0.00,94.32
"71056",СВИЛАЈНАЦ,SVILAJNAC,68.09,31.91,0.00,0.00,0.00,0.00,167.38
"70289",БОГАТИЋ,BOGATIĆ,100.00,0.00,0.00,0.00,0.00,0.00,84.18
"80489",ЧОКА,ČOKA,100.00,0.00,0.00,0.00,0.00,0.00,77.82
"80241",МАЛИ ИЂОШ,MALI IĐOŠ,100.00,0.00,0.00,0.00,0.00,0.00,99.72
"71293",СУРЧИН,SURČIN,100.00,0.00,0.00,0.00,0.00,0.00,77.43
"80497",ШИД,ŠID,95.55,4.45,0.00,0.00,0.00,0.00,104.19
"70521",ЖАБАРИ,ŽABARI,79.95,20.05,0.00,0.00,0.00,0.00,142.95
"70777",ЉУБОВИЈА,LJUBOVIJA,6.10,40.27,37.06,14.13,2.44,0.00,546.26
"70017",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.46,42.87,24.63,12.72,18.19,1.13,647.00
"80217",КОВАЧИЦА,KOVAČICA,100.00,0.00,0.00,0.00,0.00,0.00,95.03
"70530",ЖАГУБИЦА,ŽAGUBICA,0.13,34.84,48.52,10.89,5.62,0.00,602.91
"70785",МАЈДАНПЕК,MAJDANPEK,9.54,58.03,31.70,0.73,0.00,0.00,424.99
"70254",ЧУКАРИЦА,ČUKARICA,80.06,19.94,0.00,0.00,0.00,0.00,147.65
"71021",РАШКА,RAŠKA,0.00,10.59,39.92,17.26,24.21,8.03,887.35
"80225",КОВИН,KOVIN,100.00,0.00,0.00,0.00,0.00,0.00,97.10
"71277",ЛАПОВО,LAPOVO,91.28,8.72,0.00,0.00,0.00,0.00,131.89
