MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"80462","804819",САВИНО СЕЛО,SAVINO SELO,ВРБАС,VRBAS,100.00,0.00,0.00,0.00,0.00,0.00,82.54
"70670","721107",КРУШЕВАЦ,KRUŠEVAC,КРУШЕВАЦ,KRUŠEVAC,90.78,9.22,0.00,0.00,0.00,0.00,166.37
"71129","740845",ЈЕЗЕРО,JEZERO,СОКОБАЊА,SOKOBANJA,0.00,0.00,26.75,48.99,24.26,0.00,895.15
"70602","717916",СКРОБНИЦА,SKROBNICA,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.01,59.15,40.84,0.00,0.00,776.78
"70866","729744",ГОРЊА БЕЛА РЕКА,GORNJA BELA REKA,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,15.07,84.93,0.00,1108.31
"70653","719404",БРЕСНИК,BRESNIK,КРАЉЕВО,KRALJEVO,0.00,9.77,38.50,23.25,28.48,0.00,829.33
"70602","717614",КАЛИЧИНА,KALIČINA,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,100.00,0.00,0.00,0.00,0.00,292.13
"80128","801216",ПАВЛИШ,PAVLIŠ,ВРШАЦ,VRŠAC,100.00,0.00,0.00,0.00,0.00,0.00,81.18
"80403","804100",ГРГУРЕВЦИ,GRGUREVCI,СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,61.70,38.30,0.00,0.00,0.00,0.00,209.73
"70726","724386",ЗОЉЕВО,ZOLJEVO,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,336.70
"70424","710741",ГОРЊА ЛОПУШЊА,GORNJA LOPUŠNJA,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,0.00,4.07,22.91,73.02,0.00,1095.74
"70718","723266",ДОЊЕ ВРАНОВЦЕ,DONJE VRANOVCE,ЛЕБАНЕ,LEBANE,0.00,100.00,0.00,0.00,0.00,0.00,294.25
"80012","800023",МОЛ,MOL,АДА,ADA,100.00,0.00,0.00,0.00,0.00,0.00,80.95
"80012","800031",ОБОРЊАЧА,OBORNJAČA,АДА,ADA,100.00,0.00,0.00,0.00,0.00,0.00,93.75
"70980","734535",ГОСТУН,GOSTUN,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,94.99,5.01,0.00,0.00,645.12
"70688","722146",ЉУТОВА,LJUTOVA,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,59.58,39.48,0.94,0.00,769.67
"70874","730769",ПОПЕ,POPE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,20.70,49.98,29.33,0.00,917.77
"70939","732168",ВЕЛИКИ СУВОДОЛ,VELIKI SUVODOL,ПИРОТ,PIROT,0.00,45.66,43.39,10.94,0.00,0.00,566.82
"80373","803758",ЈАРКОВАЦ,JARKOVAC,СЕЧАЊ,SEČANJ,100.00,0.00,0.00,0.00,0.00,0.00,88.19
"80454","804690",ВИЛОВО,VILOVO,ТИТЕЛ,TITEL,100.00,0.00,0.00,0.00,0.00,0.00,93.36
"80152","801500",БЕЛО БЛАТО,BELO BLATO,ЗРЕЊАНИН,ZRENJANIN,100.00,0.00,0.00,0.00,0.00,0.00,73.12
"70289","705667",БЕЛОТИЋ,BELOTIĆ,БОГАТИЋ,BOGATIĆ,100.00,0.00,0.00,0.00,0.00,0.00,82.93
"70726","724807",ПАЛИКУЋА,PALIKUĆA,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,260.46
"70084","703001",БЕЛА ПАЛАНКА,BELA PALANKA,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,88.99,11.01,0.00,0.00,0.00,357.16
"70467","712655",ДУКАТ,DUKAT,ГАЏИН ХАН,GADŽIN HAN,0.00,66.27,33.72,0.01,0.00,0.00,447.74
"70190","704725",МАЛА МОШТАНИЦА,MALA MOŠTANICA,ОБРЕНОВАЦ,OBRENOVAC,96.50,3.50,0.00,0.00,0.00,0.00,150.33
"70475","712922",ГОЛУБАЦ,GOLUBAC,ГОЛУБАЦ,GOLUBAC,38.65,53.71,7.64,0.00,0.00,0.00,269.72
"71269","746550",СЛАТИНА,SLATINA,ШАБАЦ,ŠABAC,100.00,0.00,0.00,0.00,0.00,0.00,130.24
"71323","729019",ГАБРОВАЦ,GABROVAC,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),0.00,100.00,0.00,0.00,0.00,0.00,331.41
"70998","735299",БАЛИНОВАЦ,BALINOVAC,ПРОКУПЉЕ,PROKUPLJE,0.00,100.00,0.00,0.00,0.00,0.00,405.36
"80403","804223",НОЋАЈ,NOĆAJ,СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,100.00,0.00,0.00,0.00,0.00,0.00,78.32
"80420","804410",НОВИ БАНОВЦИ,NOVI BANOVCI,СТАРА ПАЗОВА,STARA PAZOVA,100.00,0.00,0.00,0.00,0.00,0.00,87.82
"70726","724599",МАЛА ГРАБОВНИЦА,MALA GRABOVNICA,ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,291.86
"70726","724483",КОЗАРЕ,KOZARE,ЛЕСКОВАЦ,LESKOVAC,0.00,99.11,0.89,0.00,0.00,0.00,376.30
"70726","725005",СМРДАН,SMRDAN,ЛЕСКОВАЦ,LESKOVAC,0.00,99.92,0.08,0.00,0.00,0.00,351.57
"70874","730050",БЕЛЕ ВОДЕ,BELE VODE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,6.48,40.42,53.09,0.00,1017.28
"70548","715204",ВЛАХОВО,VLAHOVO,ЖИТОРАЂА,ŽITORAĐA,0.00,71.55,28.45,0.00,0.00,0.00,391.04
"70254","705152",РУЦКА,RUCKA,ЧУКАРИЦА,ČUKARICA,94.12,5.88,0.00,0.00,0.00,0.00,166.56
"71285","729507",РАДИКИНА БАРА,RADIKINA BARA,НИШКА БАЊА,NIŠKA BANJA,0.00,54.34,41.72,3.94,0.00,0.00,511.26
"70998","736112",ПАШИНАЦ,PAŠINAC,ПРОКУПЉЕ,PROKUPLJE,0.00,100.00,0.00,0.00,0.00,0.00,347.56
"80403","804258",САЛАШ НОЋАЈСКИ,SALAŠ NOĆAJSKI,СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,100.00,0.00,0.00,0.00,0.00,0.00,77.72
"70505","714313",ГОРЊА НЕВЉА,GORNJA NEVLJA,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,69.19,30.58,0.23,0.00,770.97
"70718","723347",ЛАЛИНОВАЦ,LALINOVAC,ЛЕБАНЕ,LEBANE,0.00,58.21,41.79,0.00,0.00,0.00,492.40
"70467","712515",ВИЛАНДРИЦА,VILANDRICA,ГАЏИН ХАН,GADŽIN HAN,0.00,50.87,42.22,6.90,0.00,0.00,530.86
"71021","737160",КОВАЧИ,KOVAČI,РАШКА,RAŠKA,0.00,1.22,35.06,48.64,15.09,0.00,843.80
"70980","734829",КОСАТИЦА,KOSATICA,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,8.20,20.30,69.66,1.83,1129.54
"70343","707155",ГРАД,GRAD,БРУС,BRUS,0.00,0.00,51.57,48.43,0.00,0.00,798.15
"70017","700479",РАКЉА,RAKLJA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,72.84,27.16,0.00,0.00,0.00,467.76
"70190","704784",РАТАРИ,RATARI,ОБРЕНОВАЦ,OBRENOVAC,100.00,0.00,0.00,0.00,0.00,0.00,74.76
"70360","708755",КУНИЦЕ,KUNICE,ВАЉЕВО,VALJEVO,0.00,81.37,18.63,0.00,0.00,0.00,436.72
"71013","736813",РАЧА,RAČA,РАЧА,RAČA,85.74,14.26,0.00,0.00,0.00,0.00,163.01
"70564","716251",КУМАНИЦА,KUMANICA,ИВАЊИЦА,IVANJICA,0.00,0.00,24.10,34.39,41.30,0.21,982.35
"70980","734624",ЗАБРДЊИ ТОЦИ,ZABRDNJI TOCI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.52,28.75,70.74,0.00,1084.13
"80403","804231",РАВЊЕ,RAVNJE,СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,100.00,0.00,0.00,0.00,0.00,0.00,79.52
