MatBrO,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"70769",ЉИГ,LJIG,62.13,196.35,19.03,1.22,0.00,0.00,7094.44,4643.90,58.66,0.00,0.00,0.00,114.19,23.65,3.08,0.00,0.00,0.00
"70238",СОПОТ,SOPOT,79.01,190.50,1.18,0.00,0.00,0.00,7364.62,12567.14,84.88,0.00,0.00,0.00,93.21,65.97,71.81,0.00,0.00,0.00
"70491",ДЕСПОТОВАЦ,DESPOTOVAC,65.94,253.76,159.03,108.33,36.21,0.00,8870.78,11963.54,908.60,47.90,0.00,0.00,134.53,47.14,5.71,0.44,0.00,0.00
"80209",КИКИНДА,KIKINDA,782.32,0.00,0.00,0.00,0.00,0.00,55428.29,0.00,0.00,0.00,0.00,0.00,70.85,0.00,0.00,0.00,0.00,0.00
"71005",РАЖАЊ,RAŽANJ,24.59,220.01,41.81,2.44,0.00,0.00,1168.02,7000.90,0.00,0.00,0.00,0.00,47.51,31.82,0.00,0.00,0.00,0.00
"80187",ИРИГ,IRIG,130.55,98.97,0.72,0.00,0.00,0.00,5697.98,4443.34,21.76,0.00,0.00,0.00,43.64,44.90,30.14,0.00,0.00,0.00
"80446",ТЕМЕРИН,TEMERIN,169.63,0.00,0.00,0.00,0.00,0.00,27816.30,0.00,0.00,0.00,0.00,0.00,163.98,0.00,0.00,0.00,0.00,0.00
"70246",СТАРИ ГРАД,STARI GRAD,5.43,0.00,0.00,0.00,0.00,0.00,44828.38,0.00,0.00,0.00,0.00,0.00,8256.34,0.00,0.00,0.00,0.00,0.00
"71013",РАЧА,RAČA,94.47,121.61,0.00,0.00,0.00,0.00,7199.92,3537.39,0.00,0.00,0.00,0.00,76.22,29.09,0.00,0.00,0.00,0.00
"71269",ШАБАЦ,ŠABAC,686.13,107.56,3.00,0.00,0.00,0.00,108707.44,2231.06,0.00,0.00,0.00,0.00,158.44,20.74,0.00,0.00,0.00,0.00
"80195",КАЊИЖА,KANJIŽA,398.46,0.00,0.00,0.00,0.00,0.00,23961.22,0.00,0.00,0.00,0.00,0.00,60.13,0.00,0.00,0.00,0.00,0.00
"70220",САВСКИ ВЕНАЦ,SAVSKI VENAC,14.09,0.26,0.00,0.00,0.00,0.00,37071.76,380.78,0.00,0.00,0.00,0.00,2630.61,1450.59,0.00,0.00,0.00,0.00
"70475",ГОЛУБАЦ,GOLUBAC,140.95,183.81,43.13,0.03,0.00,0.00,6920.20,661.53,0.00,0.00,0.00,0.00,49.10,3.60,0.00,0.00,0.00,0.00
"80454",ТИТЕЛ,TITEL,259.84,0.00,0.00,0.00,0.00,0.00,14922.10,0.00,0.00,0.00,0.00,0.00,57.43,0.00,0.00,0.00,0.00,0.00
"70734",ЛОЗНИЦА,LOZNICA,304.13,284.85,23.15,0.00,0.00,0.00,65627.29,9198.01,225.08,0.00,0.00,0.00,215.79,32.29,9.72,0.00,0.00,0.00
"70483",ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,456.12,364.77,13.90,1.75,0.00,0.00,37073.50,5239.48,10.92,0.21,0.00,0.00,81.28,14.36,0.79,0.12,0.00
"71242",ЧАЧАК,ČAČAK,0.00,515.20,118.01,3.24,0.00,0.00,0.00,111972.88,855.67,12.36,0.00,0.00,0.00,217.34,7.25,3.82,0.00,0.00
"70742",ЛУЧАНИ,LUČANI,0.00,213.34,218.97,19.47,2.61,0.00,0.00,14954.04,3799.80,136.87,21.08,0.00,0.00,70.10,17.35,7.03,8.07,0.00
"70998",ПРОКУПЉЕ,PROKUPLJE,0.00,345.32,289.98,86.96,36.85,0.00,0.00,39063.10,2842.22,97.43,54.60,0.00,0.00,113.12,9.80,1.12,1.48,0.00
"80179",ИНЂИЈА,INĐIJA,370.68,15.47,0.00,0.00,0.00,0.00,45307.10,408.17,0.00,0.00,0.00,0.00,122.23,26.39,0.00,0.00,0.00,0.00
"70203",ПАЛИЛУЛА (БЕОГРАД),PALILULA (БЕОГРАД),445.15,6.07,0.00,0.00,0.00,0.00,177022.54,1893.71,0.00,0.00,0.00,0.00,397.67,312.06,0.00,0.00,0.00,0.00
"70459",ВРЊАЧКА БАЊА,VRNJAČKA BANJA,39.62,88.72,40.90,39.94,29.96,0.00,10784.67,16429.15,87.92,188.13,43.79,0.00,272.17,185.18,2.15,4.71,1.46,0.00
"80438",СУБОТИЦА,SUBOTICA,1007.40,0.00,0.00,0.00,0.00,0.00,136344.08,0.00,0.00,0.00,0.00,0.00,135.34,0.00,0.00,0.00,0.00,0.00
"70718",ЛЕБАНЕ,LEBANE,0.00,208.42,103.35,23.56,1.50,0.00,0.00,19704.29,640.05,117.59,0.70,0.00,0.00,94.54,6.19,4.99,0.47,0.00
"70971",ПРИБОЈ,PRIBOJ,0.00,26.86,183.21,162.85,180.11,0.00,0.00,21040.04,3018.61,810.83,510.42,0.00,0.00,783.37,16.48,4.98,2.83,0.00
"80411",СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,34.84,15.66,0.00,0.00,0.00,0.00,8428.18,142.31,0.00,0.00,0.00,0.00,241.88,9.09,0.00,0.00,0.00,0.00
"70211",РАКОВИЦА,RAKOVICA,29.41,0.63,0.00,0.00,0.00,0.00,110428.96,499.21,0.00,0.00,0.00,0.00,3755.12,786.80,0.00,0.00,0.00,0.00
"70467",ГАЏИН ХАН,GADŽIN HAN,0.54,135.42,119.99,21.84,29.73,17.26,18.65,5423.80,1373.27,80.53,84.83,421.44,34.42,40.05,11.45,3.69,2.85,24.42
"71226",ЦРНА ТРАВА,CRNA TRAVA,0.00,2.11,20.15,53.56,216.33,19.96,0.00,102.52,122.44,530.55,582.45,12.13,0.00,48.62,6.08,9.91,2.69,0.61
"80152",ЗРЕЊАНИН,ZRENJANIN,1325.80,0.00,0.00,0.00,0.00,0.00,117682.39,0.00,0.00,0.00,0.00,0.00,88.76,0.00,0.00,0.00,0.00,0.00
"70980",ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,21.50,180.95,166.19,432.43,25.73,0.00,21502.36,8641.94,2170.49,2425.07,34.97,0.00,1000.27,47.76,13.06,5.61,1.36
"70726",ЛЕСКОВАЦ,LESKOVAC,7.50,680.75,208.89,96.91,31.12,0.00,1080.86,133079.63,2467.99,180.90,41.76,0.00,144.10,195.49,11.81,1.87,1.34,0.00
"80420",СТАРА ПАЗОВА,STARA PAZOVA,343.92,0.00,0.00,0.00,0.00,0.00,63920.40,0.00,0.00,0.00,0.00,0.00,185.86,0.00,0.00,0.00,0.00,0.00
"70190",ОБРЕНОВАЦ,OBRENOVAC,408.57,1.55,0.00,0.00,0.00,0.00,71870.17,80.35,0.00,0.00,0.00,0.00,175.91,51.79,0.00,0.00,0.00,0.00
"70700",ЛАЈКОВАЦ,LAJKOVAC,164.96,20.81,0.00,0.00,0.00,0.00,13785.51,851.67,0.00,0.00,0.00,0.00,83.57,40.93,0.00,0.00,0.00,0.00
"71234",ЧАЈЕТИНА,ČAJETINA,0.00,0.69,142.77,289.70,213.62,0.00,0.00,0.09,3914.86,8399.50,1817.40,0.00,0.00,0.13,27.42,28.99,8.51,0.00
"70955",ПОЖЕГА,POŽEGA,0.00,196.26,208.22,19.69,2.25,0.00,0.00,24787.65,3146.77,102.12,11.58,0.00,0.00,126.30,15.11,5.19,5.15,0.00
"70696",КУЧЕВО,KUČEVO,85.74,468.18,165.25,1.96,0.00,0.00,9632.93,4335.98,36.86,0.00,0.00,0.00,112.35,9.26,0.22,0.00,0.00,0.00
"80136",ЖАБАЉ,ŽABALJ,399.83,0.00,0.00,0.00,0.00,0.00,25113.73,0.00,0.00,0.00,0.00,0.00,62.81,0.00,0.00,0.00,0.00,0.00
"70963",ПРЕШЕВО,PREŠEVO,0.00,82.18,129.26,51.38,1.90,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"80403",СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,679.14,81.85,0.09,0.00,0.00,0.00,75353.94,768.15,0.00,0.00,0.00,0.00,110.95,9.39,0.00,0.00,0.00,0.00
"71218",УБ,UB,422.11,34.81,0.00,0.00,0.00,0.00,26561.51,769.73,0.00,0.00,0.00,0.00,62.93,22.11,0.00,0.00,0.00,0.00
"70173",МЛАДЕНОВАЦ,MLADENOVAC,183.02,155.35,0.33,0.00,0.00,0.00,38984.41,13463.62,22.90,0.00,0.00,0.00,213.00,86.67,68.51,0.00,0.00,0.00
"80144",ЖИТИШТЕ,ŽITIŠTE,524.96,0.00,0.00,0.00,0.00,0.00,15205.56,0.00,0.00,0.00,0.00,0.00,28.97,0.00,0.00,0.00,0.00,0.00
