MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"70254","705128",ВЕЛИКА МОШТАНИЦА,VELIKA MOŠTANICA,ЧУКАРИЦА,ČUKARICA,175.00,14.13,32.06,35.24,18.57,48.57
"71099","740551",ШАЛИНАЦ,ŠALINAC,СМЕДЕРЕВО,SMEDEREVO,70.65,14.70,29.21,36.56,19.53,52.04
"71218","744743",ПАЉУВИ,PALJUVI,УБ,UB,127.23,16.79,29.81,34.30,19.10,55.98
"70882","731161",КОМИРИЋ,KOMIRIĆ,ОСЕЧИНА,OSEČINA,244.40,10.63,22.75,39.37,27.25,60.96
"70882","731099",БЕЛОТИЋ,BELOTIĆ,ОСЕЧИНА,OSEČINA,250.31,11.52,24.16,35.32,29.00,68.13
"70521","714950",СИМИЋЕВО,SIMIĆEVO,ЖАБАРИ,ŽABARI,99.48,12.94,26.53,33.91,26.62,65.43
"70343","707392",ЛЕПЕНАЦ,LEPENAC,БРУС,BRUS,475.48,12.72,30.40,37.34,19.54,47.61
"70343","707465",ПАЉЕВШТИЦА,PALJEVŠTICA,БРУС,BRUS,1116.11,12.12,15.15,42.42,30.30,73.68
"71072","740004",СКРАДНИК,SKRADNIK,СЈЕНИЦА,SJENICA,1209.88,0.00,0.00,100.00,0.00,0.00
"70688","722634",ТРН,TRN,КУРШУМЛИЈА,KURŠUMLIJA,867.95,0.00,0.00,50.00,50.00,100.00
"70815","727628",РУЈКОВАЦ,RUJKOVAC,МЕДВЕЂА,MEDVEĐA,462.83,12.04,23.04,30.89,34.03,85.44
"70050","701998",ВУЧИ ДЕЛ,VUČI DEL,БАБУШНИЦА,BABUŠNICA,1273.10,1.25,10.00,37.50,51.25,110.53
"70343","707040",БРЂАНИ,BRĐANI,БРУС,BRUS,596.81,12.18,26.28,34.62,26.92,64.21
"71323","729264",ЛАЛИНАЦ,LALINAC,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),193.93,15.39,30.79,34.11,19.71,54.10
"71072","740136",УШАК,UŠAK,СЈЕНИЦА,SJENICA,1080.91,0.00,0.00,22.22,77.78,350.00
"70939","732052",БАЗОВИК,BAZOVIK,ПИРОТ,PIROT,710.81,2.22,5.93,26.67,65.19,206.82
"71170","742813",ДОЊИ РИБНИК,DONJI RIBNIK,ТРСТЕНИК,TRSTENIK,171.64,14.53,30.73,34.26,20.48,53.87
"70726","725064",ТУПАЛОВЦЕ,TUPALOVCE,ЛЕСКОВАЦ,LESKOVAC,366.75,13.40,28.66,34.89,23.05,57.35
"71226","744964",ВУС,VUS,ЦРНА ТРАВА,CRNA TRAVA,1307.90,0.00,37.50,25.00,37.50,60.00
"70815","727415",ДОЊИ БУЧУМЕТ,DONJI BUČUMET,МЕДВЕЂА,MEDVEĐA,498.76,8.18,19.50,37.11,35.22,76.67
"71188","743275",БОВАЊ,BOVANJ,ТУТИН,TUTIN,1005.17,29.73,45.95,16.22,8.11,60.87
"70424","710784",ГРАДИШТЕ,GRADIŠTE,ВЛАСОТИНЦЕ,VLASOTINCE,581.89,10.06,23.08,33.14,33.73,77.89
"70505","714607",СКРВЕНИЦА,SKRVENICA,ДИМИТРОВГРАД,DIMITROVGRAD,900.34,4.17,4.17,45.83,45.83,100.00
"71188","743224",БАТРАГЕ,BATRAGE,ТУТИН,TUTIN,807.19,16.90,50.70,23.94,8.45,33.96
"70998","735531",ГОЈИНОВАЦ,GOJINOVAC,ПРОКУПЉЕ,PROKUPLJE,287.44,10.29,29.41,29.41,30.88,70.00
"70343","707376",КОЧИНЕ,KOČINE,БРУС,BRUS,873.37,9.57,23.40,37.23,29.79,64.91
"70980","735183",ХИСАРЏИК,HISARDŽIK,ПРИЈЕПОЉЕ,PRIJEPOLJE,884.03,20.00,24.55,35.45,20.00,66.67
"70084","703354",ПАЈЕЖ,PAJEŽ,БЕЛА ПАЛАНКА,BELA PALANKA,777.50,0.00,0.00,19.51,80.49,412.50
"70998","735574",ГОРЊА РЕЧИЦА,GORNJA REČICA,ПРОКУПЉЕ,PROKUPLJE,777.24,4.81,13.46,40.38,41.35,85.71
"70173","704423",МАЛА ВРБИЦА,MALA VRBICA,МЛАДЕНОВАЦ,MLADENOVAC,182.71,8.45,27.04,41.97,22.54,44.90
"70050","702064",ДОЊИ СТРИЖЕВАЦ,DONJI STRIŽEVAC,БАБУШНИЦА,BABUŠNICA,550.37,11.89,25.55,33.48,29.07,69.40
"70432","711560",ДУПЕЉЕВО,DUPELJEVO,ВРАЊЕ,VRANJE,823.09,15.38,7.69,38.46,38.46,116.67
"70718","723533",ТОГОЧЕВЦЕ,TOGOČEVCE,ЛЕБАНЕ,LEBANE,284.27,12.32,31.38,34.10,22.21,52.74
"70718","723371",ЛУГАРЕ,LUGARE,ЛЕБАНЕ,LEBANE,273.76,13.49,33.43,36.07,17.01,43.88
"70343","707325",ИРИЧИЋИ,IRIČIĆI,БРУС,BRUS,909.32,9.68,9.68,22.58,58.06,210.00
"70980","734918",МИЛАКОВИЋИ,MILAKOVIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,1109.06,1.92,21.15,28.85,48.08,100.00
